                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.56444,                0.38771,                 1.0069,                0.93002,                0.97256,                 0.9638,                0.64744,                 1.3039,                0.59022,                 1.4869,             0.00029723,             0.00029723,             0.00029723
                     85,                0.56135,                0.37183,                 1.0042,                 0.9703,                0.95122,                0.96362,                0.63823,                 1.2989,                0.59454,                 1.4802,             0.00028072,             0.00028072,             0.00028072
                     86,                0.59672,                0.40221,                 1.0146,                0.96786,                0.95122,                0.96675,                  0.656,                 1.2786,                0.57925,                 1.4806,             0.00026422,             0.00026422,             0.00026422
                     87,                0.53211,                0.34808,                0.97246,                0.95227,                0.97319,                0.96761,                0.66593,                 1.2581,                0.57532,                 1.4693,             0.00024772,             0.00024772,             0.00024772
                     88,                0.55093,                0.36931,                 1.0078,                0.94799,                0.97561,                  0.969,                0.66937,                  1.221,                0.55215,                 1.4379,             0.00023121,             0.00023121,             0.00023121
                     89,                0.53677,                0.36169,                0.98285,                0.95232,                0.97443,                 0.9697,                0.66627,                 1.2033,                0.54502,                 1.4271,             0.00021471,             0.00021471,             0.00021471
                     90,                0.52086,                0.34561,                0.98878,                0.94958,                0.95122,                0.96853,                0.66405,                 1.1986,                0.53831,                  1.428,             0.00019821,             0.00019821,             0.00019821
                     91,                0.47173,                0.33831,                0.94725,                   0.95,                0.95122,                0.96859,                0.65979,                   1.22,                0.55579,                 1.4392,              0.0001817,              0.0001817,              0.0001817
                     92,                0.46163,                0.29754,                0.94171,                0.95218,                0.97143,                0.96833,                0.65281,                 1.2493,                0.53362,                 1.4572,              0.0001652,              0.0001652,              0.0001652
                     93,                0.43025,                0.27255,                0.89366,                0.93017,                0.97467,                0.96855,                 0.6463,                 1.2507,                 0.5289,                 1.4568,              0.0001487,              0.0001487,              0.0001487
                     94,                0.42341,                0.28914,                0.89292,                0.94915,                0.95122,                0.96715,                0.64375,                 1.2442,                0.53183,                 1.4551,             0.00013219,             0.00013219,             0.00013219
                     95,                0.40782,                0.26773,                0.89706,                0.95225,                0.97281,                0.96975,                0.65833,                 1.2385,                0.53354,                 1.4566,             0.00011569,             0.00011569,             0.00011569
                     96,                0.39947,                0.24737,                0.89154,                0.93004,                0.97278,                0.96758,                0.65751,                 1.2259,                0.54709,                 1.4549,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 0.3819,                0.25259,                0.90031,                0.93009,                0.97357,                0.96726,                0.65404,                 1.2324,                 0.5588,                 1.4625,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.38049,                0.25031,                0.87809,                 0.9301,                0.97369,                0.96728,                0.64848,                 1.2476,                0.56181,                 1.4715,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.36008,                0.24681,                0.85447,                 0.9088,                0.97228,                0.96723,                 0.6534,                  1.251,                0.56736,                 1.4744,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.38803,                0.24934,                0.91237,                0.90865,                0.97056,                0.96628,                0.65413,                 1.2535,                0.56788,                 1.4791,             3.3173e-05,             3.3173e-05,             3.3173e-05
